아침,"Good morning, {name}"
,"Rise and shine, {name}!"
,"Wakey, wakey, {name}!"
,"It’s time to wake up, {name}"
,"It’s a beautiful morning, {name}"
,"Have a beautiful day, {name}"
,"I hope you have a beautiful day, {name}"
,"Have a wonderful day, {name}"
,"I hope you have a wonderful day, {name}"
,"Have a lovely day, {name}"
,"I hope you have a lovely day, {name}"
낮,"Good afternoon, {name}"
,"Have a beautiful afternoon, {name}"
,"I hope you have a beautiful afternoon, {name}"
,"Have a wonderful afternoon, {name}"
,"I hope you have a wonderful afternoon, {name}"
,"Have a lovely afternoon, {name}"
,"I hope you have a lovely afternoon, {name}"
저녁,"Good evening, {name}"
밤,"Good night, {name}"
,"Sleep tight, {name}"
,"Sleep tight, don’t let the bedbugs bite"
,"See you tomorrow, {name}"
,"Sweet dreams, {name}"
,"Time to go to bed, {name}"
,"Time for bed, {name}"
식사,"Time for breakfast, {name}"
,"It’s time for breakfast, {name}"
,"It’s breakfast time, {name}"
,"Enjoy your breakfast, {name}"
,"How was breakfast, {name}?"
,"What did you have for breakfast, {name}?"
,"Time for lunch, {name}"
,"It’s time for lunch, {name}"
,"It's lunch time, {name}"
,"Enjoy your lunch, {name}"
,"How was lunch, {name}?"
,"Time for dinner, {name}"
,"It’s time for dinner, {name}"
,"It’s dinner time, {name}"
,"Enjoy your dinner, {name}"
,"How was dinner, {name}"
외출 시,"Do you have everything, {name}?"
,"Do you have everything you need, {name}?"
,"Is there anything you might have forgotten, {name}?"
,"Do you have your phone, {name}?"
,"Do you have your phone with you, {name}?"
,"Did you dress warmly, {name}?"
,"Are you dressed warm enough, {name}?"
,"Did you dress lightly, {name}?"
,"Did you put on sunscreen, {name}?"
,"It’s chilly today. Don’t forget your jacket, {name}"
,"It’s cold today. You might want to grab a muffler, {name}"
,"It’s really sunny today. How about wearing a hat, {name}?"
,"It’s really hot today. Do you have a fan, {name}?"
,"It’s raining right now. Don’t forget your umbrella, {name}"
,"It’s going to rain today. Don’t forget your umbrella, {name}"
,"It’s going to snow today. Make sure to wear gloves, {name}"
,"The road is frozen from the snow. Be careful, {name}"
,"See you later, {name}"
,"See you later, alligator"
귀가 시,"Welcome home, {name}"
,"Welcome back, {name}"
,"Welcome, welcome!"
,"Home sweet home, {name}"
,"Hi, {name}! Welcome home"
,"Hi, {name}! Welcome back"
,"Hi, {name}! How was your day?"
,"Hey, {name}! Are you feeling okay? You seem a little feverish"
1월 1일,"Happy New Year, {name}!"
설날 (구정),"Happy New Year, {name}!"
,"Happy Lunar New Year, {name}!"
2월 14일,"Happy Valentine’s Day, {name}!"
8월 15일,"Happy Independence Day, {name}!"
추석,"Happy Thanksgiving, {name}!"
10월 31일,"Happy Halloween, {name}!"
12월 25일,"Merry Christmas, {name}!"
생일,"Happy birthday, {name}!"
,"Happy birthday, {name}! I hope your birthday wish comes true"
,"Happy birthday, {name}! Do you have any birthday wishes?"
,"Hey, {name}. What would you like to do today?"
,"Hey, {name}. What do you feel like doing today?"
,"Hey, {name}. How are you today?"
,"Hey, {name}. How are you doing today?"
,"Hey, {name}. How are you feeling today?"
,"Hey, {name}. Is there anything I can help you with?"
,"Hey, {name}. Do you need help with anything?"
,"Hey, {name}. How was your day?"
,"Hey, {name}. Did you have a good day?"
,"Hey, {name}. On a scale of 1 to 10, how would you rate your day?"
,"Hey, {name}. What did you enjoy the most about your day?"
,"Hey, {name}. What's the best thing that happened to you today?"
,"Hey, {name}. What made you smile today?"
,"Hey, {name}. What made you laugh today?"
